TEAM,O,G,B,M,A,Y,AV,P,LABEL,PREDICTED_LABEL
Galatasaray_2023,34,30,3,1,80,21,59,93,Champions,
Fenerbahce_2023,34,28,5,1,89,31,58,89,Champions,
Trabzonspor_2023,34,18,4,12,60,45,15,58,Europe,
Basaksehir_2023,34,15,7,12,46,39,7,52,Europe,
Besiktas_2023,34,15,6,13,45,40,5,51,Europe,
Kasimpasa_2023,34,14,7,13,56,59,-3,49,Mid,
Rizespor_2023,34,14,7,13,45,51,-6,49,Mid,
Alanyaspor_2023,34,12,12,10,49,46,3,48,Mid,
Sivasspor_2023,34,12,12,10,41,45,-4,48,Mid,
Antalyaspor_2023,34,11,12,11,39,42,-3,45,Mid,
AdanaDemirspor_2023,34,9,14,11,49,47,2,41,Mid,
Kayserispor_2023,34,11,10,13,39,48,-9,40,Mid,
Samsunspor_2023,34,10,9,15,37,44,-7,39,Mid,
Ankaragucu_2023,34,8,14,12,42,45,-3,38,Risk,
FatihKaragumruk_2023,34,9,9,16,41,43,-2,36,Risk,
Konyaspor_2023,34,8,12,14,34,48,-14,36,Risk,
Gaziantep_2023,34,9,7,18,39,54,-15,34,Risk,
Hatayspor_2023,34,7,12,15,38,48,-10,33,Risk,
Pendikspor_2023,34,7,9,18,38,70,-32,30,Down,
Istanbulspor_2023,34,4,7,23,26,67,-41,16,Down,
Galatasaray_2022,32,24,4,4,71,26,45,76,Champions,
Fenerbahce_2022,32,22,5,5,79,39,40,71,Champions,
Besiktas_2022,33,21,8,4,66,30,36,71,Champions,
AdanaDemirspor_2022,32,18,9,5,69,37,32,63,Europe,
Basaksehir_2022,32,15,7,10,45,34,11,52,Europe,
Konyaspor_2022,33,12,13,8,45,36,9,49,Mid,
Trabzonspor_2022,32,14,6,12,50,47,3,48,Mid,
Kayserispor_2022,32,15,4,13,54,53,1,46,Mid,
FatihKaragumruk_2022,32,11,11,10,68,58,10,44,Mid,
Alanyaspor_2022,33,10,8,15,48,62,-14,38,Mid,
Sivasspor_2022,33,10,7,16,44,51,-7,37,Mid,
Antalyaspor_2022,32,10,7,15,43,51,-8,37,Mid,
Kasimpasa_2022,32,10,7,15,39,52,-13,37,Mid,
Ankaragucu_2022,32,10,6,16,38,46,-8,36,Risk,
Istanbulspor_2022,32,10,5,17,40,60,-20,35,Risk,
Giresunspor_2022,32,7,10,15,34,56,-22,31,Risk,
Umraniyespor_2022,32,6,9,17,43,57,-14,27,Down,
Gaziantep_2022,32,6,7,19,31,60,-29,25,Down,
Hatayspor_2022,32,6,5,21,19,71,-52,23,Down,
Galatasaray_2024,32,26,5,1,82,31,51,83,,Champions
Fenerbahce_2024,32,23,6,3,80,32,48,75,,Champions
Samsunspor_2024,33,17,6,10,50,38,12,57,,Europe
Besiktas_2024,32,15,10,7,49,32,17,55,,Europe
Basaksehir_2024,32,15,6,11,54,45,9,51,,Europe
Eyupspor_2024,33,14,8,11,49,41,8,50,,Europe
Goztepe_2024,32,12,10,10,53,40,13,46,,Mid
Trabzonspor_2024,32,12,10,10,53,40,13,46,,Mid
Kasimpasa_2024,32,10,13,9,54,56,-2,43,,Mid
Konyaspor_2024,33,12,7,14,41,45,-4,43,,Mid
Antalyaspor_2024,32,12,7,13,35,55,-20,43,,Mid
Gaziantep_2024,32,12,6,14,41,45,-4,42,,Mid
Kayserispor_2024,32,10,11,11,40,50,-10,41,,Mid
Rizespor_2024,32,12,4,16,38,50,-12,40,,Mid
Alanyaspor_2024,32,9,8,15,37,48,-11,35,,Risk
Sivasspor_2024,33,9,7,17,44,57,-13,34,,Risk
Bodrumspor_2024,32,9,7,16,24,37,-13,34,,Risk
Hatayspor_2024,32,4,7,21,35,66,-31,19,,Down
AdanaDemirspor_2024,32,2,4,26,28,79,-51,-2,,Down
